SNO,NAME OF COMPANY,SYMBOL
1101,PG Electroplast Limited,PGEL
1102,Procter & Gamble Hygiene and Health Care Limited,PGHH
1103,Procter & Gamble Health Limited,PGHL
1104,Pearl Global Industries Limited,PGIL
1105,Phillips Carbon Black Limited,PHILIPCARB
1106,The Phoenix Mills Limited,PHOENIXLTD
1107,Pidilite Industries Limited,PIDILITIND
1108,PI Industries Limited,PIIND
1109,Pilani Investment and Industries Corporation Limited,PILANIINVS
1110,PIL ITALICA LIFESTYLE LIMITED,PILITA
1111,Pioneer Distilleries Limited,PIONDIST
1112,Pioneer Embroideries Limited,PIONEEREMB
1113,Piramal Phytocare Limited,PIRPHYTO
1114,Pitti Engineering Limited,PITTIENG
1115,The Peria Karamalai Tea & Produce Company Limited,PKTEA
1116,Plastiblends India Limited,PLASTIBLEN
1117,Punjab National Bank,PNB
1118,PNB Gilts Limited,PNBGILTS
1119,PNB Housing Finance Limited,PNBHOUSING
1120,Pritish Nandy Communications Limited,PNC
1121,PNC Infratech Limited,PNCINFRA
1122,Poddar Housing and Development Limited,PODDARHOUS
1123,Poddar Pigments Limited,PODDARMENT
1124,Pokarna Limited,POKARNA
1125,Polycab India Limited,POLYCAB
1126,Poly Medicure Limited,POLYMED
1127,Polyplex Corporation Limited,POLYPLEX
1128,Ponni Sugars (Erode) Limited,PONNIERODE
1129,Power Grid Corporation of India Limited,POWERGRID
1130,Power Mech Projects Limited,POWERMECH
1131,PPAP Automotive Limited,PPAP
1132,Prakash Pipes Limited,PPL
1133,Prabhat Dairy Limited,PRABHAT
1134,Pradip Overseas Limited,PRADIP
1135,Prajay Engineers Syndicate Limited,PRAENG
1136,Praj Industries Limited,PRAJIND
1137,Prakash Industries Limited,PRAKASH
1138,Prakash Steelage Limited,PRAKASHSTL
1139,Praxis Home Retail Limited,PRAXIS
1140,Precision Camshafts Limited,PRECAM
1141,Precot Meridian Limited,PRECOT
1142,Precision Wires India Limited,PRECWIRE
1143,Premier Explosives Limited,PREMEXPLN
1144,Premier Limited,PREMIER
1145,Premier Polyfilm Limited,PREMIERPOL
1146,Pressman Advertising Limited,PRESSMN
1147,Prestige Estates Projects Limited,PRESTIGE
1148,Pricol Limited,PRICOLLTD
1149,Prime Securities Limited,PRIMESECU
1150,Proseed India Limited,PROSEED
1151,Provogue (India) Limited,PROVOGE
1152,Prozone Intu Properties Limited,PROZONINTU
1153,Prism Johnson Limited,PRSMJOHNSN
1154,Punjab & Sind Bank,PSB
1155,PSL Limited,PSL
1156,PSP Projects Limited,PSPPROJECT
1157,PTC India Limited,PTC
1158,PTL Enterprises Limited,PTL
1159,Punjab Chemicals & Crop Protection Limited,PUNJABCHEM
1160,Punj Lloyd Limited,PUNJLLOYD
1161,Puravankara Limited,PURVA
1162,PVR Limited,PVR
1163,Quess Corp Limited,QUESS
1164,Quick Heal Technologies Limited,QUICKHEAL
1165,Radaan Mediaworks India Limited,RADAAN
1166,Radico Khaitan Limited,RADICO
1167,Music Broadcast Limited,RADIOCITY
1168,Rain Industries Limited,RAIN
1169,Rajesh Exports Limited,RAJESHEXPO
1170,Raj Rayon Industries Limited,RAJRAYON
1171,Rajshree Sugars & Chemicals Limited,RAJSREESUG
1172,Raj Television Network Limited,RAJTV
1173,Rajvir Industries Limited,RAJVIR
1174,Rallis India Limited,RALLIS
1175,Shree Rama Newsprint Limited,RAMANEWS
1176,Rama Steel Tubes Limited,RAMASTEEL
1177,The Ramco Cements Limited,RAMCOCEM
1178,Ramco Industries Limited,RAMCOIND
1179,Ramco Systems Limited,RAMCOSYS
1180,Ramky Infrastructure Limited,RAMKY
1181,Ramsarup Industries Limited,RAMSARUP
1182,Rana Sugars Limited,RANASUG
1183,Rane Engine Valve Limited,RANEENGINE
1184,Rane Holdings Limited,RANEHOLDIN
1185,Ratnamani Metals & Tubes Limited,RATNAMANI
1186,Raymond Limited,RAYMOND
1187,Rane Brake Lining Limited,RBL
1188,RBL Bank Limited,RBLBANK
1189,Rashtriya Chemicals and Fertilizers Limited,RCF
1190,Reliance Communications Limited,RCOM
1191,REC Limited,RECLTD
1192,Redington (India) Limited,REDINGTON
1193,Refex Industries Limited,REFEX
1194,Regency Ceramics Limited,REGENCERAM
1195,Relaxo Footwears Limited,RELAXO
1196,Reliance Capital Limited,RELCAPITAL
1197,Reliance Industries Limited,RELIANCE
1198,Religare Enterprises Limited,RELIGARE
1199,Reliance Infrastructure Limited,RELINFRA
1200,Remsons Industries Limited,REMSONSIND
1201,Shree Renuka Sugars Limited,RENUKA
1202,Repco Home Finance Limited,REPCOHOME
1203,Repro India Limited,REPRO
1204,Responsive Industries Limited,RESPONIND
1205,Revathi Equipment Limited,REVATHI
1206,Renaissance Global Limited,RGL
1207,Reliance Home Finance Limited,RHFL
1208,Rico Auto Industries Limited,RICOAUTO
1209,Reliance Industrial Infrastructure Limited,RIIL
1210,RITES Limited,RITES
1211,Ravi Kumar Distilleries Limited,RKDL
1212,Ramkrishna Forgings Limited,RKFORGE
1213,Radha Madhav Corporation Limited,RMCL
1214,Rane (Madras) Limited,RML
1215,Reliance Nippon Life Asset Management Limited,RNAM
1216,Reliance Naval and Engineering Limited,RNAVAL
1217,Rohit Ferro-Tech Limited,ROHITFERRO
1218,Royal Orchid Hotels Limited,ROHLTD
1219,Rollatainers Limited,ROLLT
1220,Rolta India Limited,ROLTA
1221,Rossell India Limited,ROSSELLIND
1222,RPG Life Sciences Limited,RPGLIFE
1223,Reliance Power Limited,RPOWER
1224,R.P.P. Infra Projects Limited,RPPINFRA
1225,R. S. Software (India) Limited,RSSOFTWARE
1226,RSWM Limited,RSWM
1227,R Systems International Limited,RSYSTEMS
1228,RattanIndia Infrastructure Limited,RTNINFRA
1229,RattanIndia Power Limited,RTNPOWER
1230,The Ruby Mills Limited,RUBYMILLS
1231,Ruchi Infrastructure Limited,RUCHINFRA
1232,Ruchira Papers Limited,RUCHIRA
1233,Ruchi Soya Industries Limited,RUCHISOYA
1234,Rupa & Company Limited,RUPA
1235,Rushil Decor Limited,RUSHIL
1236,Rail Vikas Nigam Limited,RVNL
1237,Sab Events & Governance Now Media Limited,SABEVENTS
1238,Sri Adhikari Brothers Television Network Limited,SABTN
1239,Sadbhav Engineering Limited,SADBHAV
1240,Sadbhav Infrastructure Project Limited,SADBHIN
1241,Safari Industries (India) Limited,SAFARI
1242,Sagardeep Alloys Limited,SAGARDEEP
1243,Sagar Cements Limited,SAGCEM
1244,Steel Authority of India Limited,SAIL
1245,Sakar Healthcare Limited,SAKAR
1246,Sakthi Sugars Limited,SAKHTISUG
1247,Saksoft Limited,SAKSOFT
1248,Sakuma Exports Limited,SAKUMA
1249,Salasar Techno Engineering Limited,SALASAR
1250,Salona Cotspin Limited,SALONA
1251,S.A.L. Steel Limited,SALSTEEL
1252,Salzer Electronics Limited,SALZERELEC
1253,Sambhaav Media Limited,SAMBHAAV
1254,Sanco Industries Limited,SANCO
1255,The Sandesh Limited,SANDESH
1256,Sandhar Technologies Limited,SANDHAR
1257,Sangam (India) Limited,SANGAMIND
1258,Sanghi Industries Limited,SANGHIIND
1259,Sanghvi Forging and Engineering Limited,SANGHVIFOR
1260,Sanghvi Movers Limited,SANGHVIMOV
1261,Sanginita Chemicals Limited,SANGINITA
1262,Sanofi India Limited,SANOFI
1263,Sanwaria Consumer Limited,SANWARIA
1264,Sarda Energy & Minerals Limited,SARDAEN
1265,Saregama India Limited,SAREGAMA
1266,Sarla Performance Fibers Limited,SARLAPOLY
1267,Sasken Technologies Limited,SASKEN
1268,Sastasundar Ventures Limited,SASTASUNDR
1269,Sathavahana Ispat Limited,SATHAISPAT
1270,Satia Industries Limited,SATIA
1271,Satin Creditcare Network Limited,SATIN
1272,SBI Life Insurance Company Limited,SBILIFE
1273,State Bank of India,SBIN
1274,Stampede Capital Limited,SCAPDVR
1275,Schaeffler India Limited,SCHAEFFLER
1276,S Chand And Company Limited,SCHAND
1277,Schneider Electric Infrastructure Limited,SCHNEIDER
1278,Shipping Corporation Of India Limited,SCI
1279,Som Distilleries & Breweries Limited,SDBL
1280,Seamec Limited,SEAMECLTD
1281,Selan Exploration Technology Limited,SELAN
1282,SEL Manufacturing Company Limited,SELMCL
1283,S.E. Power Limited,SEPOWER
1284,Sequent Scientific Limited,SEQUENT
1285,Seshasayee Paper and Boards Limited,SESHAPAPER
1286,Setco Automotive Limited,SETCO
1287,Setubandhan Infrastructure Limited,SETUINFRA
1288,Seya Industries Limited,SEYAIND
1289,Sezal Glass Limited,SEZAL
1290,Sheela Foam Limited,SFL
1291,STL Global Limited,SGL
1292,Shah Alloys Limited,SHAHALLOYS
1293,Shakti Pumps (India) Limited,SHAKTIPUMP
1294,Shalby Limited,SHALBY
1295,Shalimar Paints Limited,SHALPAINTS
1296,Shankara Building Products Limited,SHANKARA
1297,Shanthi Gears Limited,SHANTIGEAR
1298,Sharda Cropchem Limited,SHARDACROP
1299,Sharda Motor Industries Limited,SHARDAMOTR
1300,Shemaroo Entertainment Limited,SHEMAROO
1301,Shilpa Medicare Limited,SHILPAMED
1302,Shirpur Gold Refinery Limited,SHIRPUR-G
1303,Shivam Autotech Limited,SHIVAMAUTO
1304,Shiva Mills Limited,SHIVAMILLS
1305,Shiva Texyarn Limited,SHIVATEX
1306,S H Kelkar and Company Limited,SHK
1307,Shoppers Stop Limited,SHOPERSTOP
1308,Shree Digvijay Cement Co.Ltd,SHREDIGCEM
1309,SHREE CEMENT LIMITED,SHREECEM
1310,Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK
1311,Shree Rama Multi-Tech Limited,SHREERAMA
1312,Shrenik Limited,SHRENIK
1313,Shreyans Industries Limited,SHREYANIND
1314,Shreyas Shipping & Logistics Limited,SHREYAS
1315,Shriram Pistons & Rings Limited,SHRIPISTON
1316,Shriram City Union Finance Limited,SHRIRAMCIT
1317,Shriram EPC Limited,SHRIRAMEPC
1318,Shyam Century Ferrous Limited,SHYAMCENT
1319,Shyam Telecom Limited,SHYAMTEL
1320,Sicagen India Limited,SICAGEN
1321,Sical Logistics Limited,SICAL
1322,Siemens Limited,SIEMENS
1323,Signet Industries Limited,SIGIND
1324,Standard Industries Limited,SIL
1325,SIL Investments Limited,SILINV
1326,Simbhaoli Sugars Limited,SIMBHALS
1327,Simplex Infrastructures Limited,SIMPLEXINF
1328,Sintex Industries Limited,SINTEX
1329,Sirca Paints India Limited,SIRCA
1330,Security and Intelligence Services (India) Limited,SIS
1331,Siti Networks Limited,SITINET
1332,Siyaram Silk Mills Limited,SIYSIL
1333,SJVN Limited,SJVN
1334,SKF India Limited,SKFINDIA
1335,SKIL Infrastructure Limited,SKIL
1336,Skipper Limited,SKIPPER
1337,SKM Egg Products Export (India) Limited,SKMEGGPROD
1338,Smartlink Holdings Limited,SMARTLINK
1339,SML Isuzu Limited,SMLISUZU
1340,Splendid Metal Products Limited,SMPL
1341,SMS Lifesciences India Limited,SMSLIFE
1342,SMS Pharmaceuticals Limited,SMSPHARMA
1343,Snowman Logistics Limited,SNOWMAN
1344,Sobha Limited,SOBHA
1345,Solara Active Pharma Sciences Limited,SOLARA
1346,Solar Industries India Limited,SOLARINDS
1347,Somany Ceramics Limited,SOMANYCERA
1348,Soma Textiles & Industries Limited,SOMATEX
1349,Somi Conveyor Beltings Limited,SOMICONVEY
1350,Sonata Software Limited,SONATSOFTW
1351,SORIL Infra Resources Limited,SORILINFRA
1352,Savita Oil Technologies Limited,SOTL
1353,The South Indian Bank Limited,SOUTHBANK
1354,South West Pinnacle Exploration Limited,SOUTHWEST
1355,S. P. Apparels Limited,SPAL
1356,Spandana Sphoorty Financial Limited,SPANDANA
1357,Sun Pharma Advanced Research Company Limited,SPARC
1358,Spacenet Enterprises India Limited,SPCENET
1359,Speciality Restaurants Limited,SPECIALITY
1360,Spencer’s Retail Limited,SPENCERS
1361,Spentex Industries Limited,SPENTEX
1362,Southern Petrochemicals Industries Corporation Limited,SPIC
1363,SPICEJET LTD,SPICEJET
1364,SPL Industries Limited,SPLIL
1365,SPML Infra Limited,SPMLINFRA
1366,Sintex Plastics Technology Limited,SPTL
1367,Shekhawati Poly-Yarn Limited,SPYL
1368,Sreeleathers Limited,SREEL
1369,SREI Infrastructure Finance Limited,SREINFRA
1370,SRF Limited,SRF
1371,Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD
1372,Srikalahasthi Pipes Limited,SRIPIPES
1373,Shriram Transport Finance Company Limited,SRTRANSFIN
1374,Steel Strips Wheels Limited,SSWL
1375,Stampede Capital Limited,STAMPEDE
1376,Strides Pharma Science Limited,STAR
1377,Star Cement Limited,STARCEMENT
1378,Star Paper Mills Limited,STARPAPER
1379,The State Trading Corporation of India Limited,STCINDIA
1380,Steel City Securities Limited,STEELCITY
1381,STEEL EXCHANGE INDIA LIMITED,STEELXIND
1382,Stel Holdings Limited,STEL
1383,Sterling Tools Limited,STERTOOLS
1384,STI India Limited,STINDIA
1385,Sterlite Technologies Limited,STRTECH
1386,International Constructions Limited,SUBCAPCITY
1387,Subex Limited,SUBEX
1388,Subros Limited,SUBROS
1389,Sudarshan Chemical Industries Limited,SUDARSCHEM
1390,Sujana Universal Industries Limited,SUJANAUNI
1391,Sumeet Industries Limited,SUMEETINDS
1392,Sumit Woods Limited,SUMIT
1393,Summit Securities Limited,SUMMITSEC
1394,Sundaram Clayton Limited,SUNCLAYLTD
1395,Sundaram Multi Pap Limited,SUNDARAM
1396,Sundaram Finance Limited,SUNDARMFIN
1397,Sundaram Finance Holdings Limited,SUNDARMHLD
1398,Sundaram Brake Linings Limited,SUNDRMBRAK
1399,Sundram Fasteners Limited,SUNDRMFAST
1400,Sunflag Iron And Steel Company Limited,SUNFLAG
1401,Sun Pharmaceutical Industries Limited,SUNPHARMA
1402,Sunteck Realty Limited,SUNTECK
1403,Sun TV Network Limited,SUNTV
1404,Superhouse Limited,SUPERHOUSE
1405,Super Spinning Mills Limited,SUPERSPIN
1406,Supreme Petrochem Limited,SUPPETRO
1407,Suprajit Engineering Limited,SUPRAJIT
1408,Supreme Industries Limited,SUPREMEIND
1409,Supreme Infrastructure India Limited,SUPREMEINF
1410,Surana Solar Limited,SURANASOL
1411,Surana Telecom and Power Limited,SURANAT&P
1412,Suryalakshmi Cotton Mills Limited,SURYALAXMI
1413,Surya Roshni Limited,SURYAROSNI
1414,Sutlej Textiles and Industries Limited,SUTLEJTEX
1415,Suven Life Sciences Limited,SUVEN
1416,Suzlon Energy Limited,SUZLON
1417,Swan Energy Limited,SWANENERGY
1418,Swaraj Engines Limited,SWARAJENG
1419,Swelect Energy Systems Limited,SWELECTES
1420,Sterling And Wilson Solar Limited,SWSOLAR
1421,Symphony Limited,SYMPHONY
1422,Syncom Healthcare Limited,SYNCOM
1423,Syndicate Bank,SYNDIBANK
1424,Syngene International Limited,SYNGENE
1425,Tainwala Chemical and Plastic (I) Limited,TAINWALCHM
1426,Taj GVK Hotels & Resorts Limited,TAJGVK
1427,Take Solutions Limited,TAKE
1428,Talbros Automotive Components Limited,TALBROAUTO
1429,Talwalkars Better Value Fitness Limited,TALWALKARS
1430,Talwalkars Healthclubs Limited,TALWGYM
1431,Tanla Solutions Limited,TANLA
1432,Tantia Constructions Limited,TANTIACONS
1433,Tarapur Transformers Limited,TARAPUR
1434,Tarmat Limited,TARMAT
1435,Tasty Bite Eatables Limited,TASTYBITE
1436,Tata Chemicals Limited,TATACHEM
1437,Tata Coffee Limited,TATACOFFEE
1438,Tata Communications Limited,TATACOMM
1439,Tata Elxsi Limited,TATAELXSI
1440,Tata Global Beverages Limited,TATAGLOBAL
1441,Tata Investment Corporation Limited,TATAINVEST
1442,Tata Metaliks Limited,TATAMETALI
1443,Tata Motors Limited,TATAMOTORS
1444,Tata Motors Limited,TATAMTRDVR
1445,Tata Power Company Limited,TATAPOWER
1446,Tata Steel Limited,TATASTEEL
1447,Tata Steel Bsl Limited,TATASTLBSL
1448,Tata Steel Long Products Limited,TATASTLLP
1449,Tribhovandas Bhimji Zaveri Limited,TBZ
1450,Transport Corporation of India Limited,TCI
1451,TCI Developers Limited,TCIDEVELOP
1452,TCI Express Limited,TCIEXP
1453,TCI Finance Limited,TCIFINANCE
1454,TCNS Clothing Co. Limited,TCNSBRANDS
1455,TCPL Packaging Limited,TCPLPACK
1456,Tata Consultancy Services Limited,TCS
1457,TD Power Systems Limited,TDPOWERSYS
1458,Teamlease Services Limited,TEAMLEASE
1459,Techindia Nirman Limited,TECHIN
1460,Tech Mahindra Limited,TECHM
1461,Techno Electric & Engineering Company Limited,TECHNOE
1462,Technofab Engineering Limited,TECHNOFAB
1463,Tejas Networks Limited,TEJASNET
1464,Tera Software Limited,TERASOFT
1465,Texmaco Infrastructure & Holdings Limited,TEXINFRA
1466,Texmo Pipes and Products Limited,TEXMOPIPES
1467,Texmaco Rail & Engineering Limited,TEXRAIL
1468,Texmaco Rail & Engineering Limited,TEXRAIL
1469,Tourism Finance Corporation of India Limited,TFCILTD
1470,Transwarranty Finance Limited,TFL
1471,TGB Banquets And Hotels Limited,TGBHOTELS
1472,TGB Banquets And Hotels Limited,TGBHOTELS
1473,Thangamayil Jewellery Limited,THANGAMAYL
1474,The Investment Trust Of India Limited,THEINVEST
1475,Themis Medicare Limited,THEMISMED
1476,Thermax Limited,THERMAX
1477,Thiru Arooran Sugars Limited,THIRUSUGAR
1478,Thomas Cook (India) Limited,THOMASCOOK
1479,Thomas Scott (India) Limited,THOMASCOTT
1480,Thyrocare Technologies Limited,THYROCARE
1481,Tilaknagar Industries Limited,TI
1482,Tide Water Oil Company (India) Limited,TIDEWATER
1483,Technocraft Industries (India) Limited,TIIL
1484,Tube Investments of India Limited,TIINDIA
1485,Tijaria Polypipes Limited,TIJARIA
1486,TIL Limited,TIL
1487,Times Guaranty Limited,TIMESGTY
1488,Time Technoplast Limited,TIMETECHNO
1489,Timken India Limited,TIMKEN
1490,The Tinplate Company of India Limited,TINPLATE
1491,TIPS Industries Limited,TIPSINDLTD
1492,Thirumalai Chemicals Limited,TIRUMALCHM
1493,Titan Company Limited,TITAN
1494,The Mandhana Retail Ventures Limited,TMRVL
1495,Tamilnadu PetroProducts Limited,TNPETRO
1496,Tamil Nadu Newsprint & Papers Limited,TNPL
1497,Tamilnadu Telecommunication Limited,TNTELE
1498,Tokyo Plast International Limited,TOKYOPLAST
1499,Torrent Pharmaceuticals Limited,TORNTPHARM
1500,Torrent Power Limited,TORNTPOWER
1501,TPL Plastech Limited,TPLPLASTEH
1502,Tree House Education & Accessories Limited,TREEHOUSE
1503,TREJHARA SOLUTIONS LIMITED,TREJHARA
1504,Trent Limited,TRENT
1505,TRF Limited,TRF
1506,Trident Limited,TRIDENT
1507,Trigyn Technologies Limited,TRIGYN
1508,Transformers And Rectifiers (India) Limited,TRIL
1509,Triveni Turbine Limited,TRITURBINE
1510,Triveni Engineering & Industries Limited,TRIVENI
1511,TTK Healthcare Limited,TTKHLTCARE
1512,TTK Prestige Limited,TTKPRESTIG
1513,T T Limited,TTL
1514,Tata Teleservices (Maharashtra) Limited,TTML
1515,TV18 Broadcast Limited,TV18BRDCST
1516,TVS Electronics Limited,TVSELECT
1517,TVS Motor Company Limited,TVSMOTOR
1518,TVS Srichakra Limited,TVSSRICHAK
1519,TV Today Network Limited,TVTODAY
1520,TV Vision Limited,TVVISION
1521,Titagarh Wagons Limited,TWL
1522,United Breweries Limited,UBL
1523,Ucal Fuel Systems Limited,UCALFUEL
1524,UCO Bank,UCOBANK
1525,UFLEX Limited,UFLEX
1526,UFO Moviez India Limited,UFO
1527,The Ugar Sugar Works Limited,UGARSUGAR
1528,Ujaas Energy Limited,UJAAS
1529,Ujjivan Financial Services Limited,UJJIVAN
1530,UltraTech Cement Limited,ULTRACEMCO
1531,Umang Dairies Limited,UMANGDAIRY
1532,Usha Martin Education & Solutions Limited,UMESLTD
1533,Unichem Laboratories Limited,UNICHEMLAB
1534,Uniphos Enterprises Limited,UNIENTER
1535,Union Bank of India,UNIONBANK
1536,Uniply Industries Limited,UNIPLY
1537,Unitech Limited,UNITECH
1538,United Bank of India,UNITEDBNK
1539,The United Nilgiri Tea Estates Company Limited,UNITEDTEA
1540,Unity Infraprojects Limited,UNITY
1541,Universal Cables Limited,UNIVCABLES
1542,UPL Limited,UPL
1543,Urja Global Limited,URJA
1544,Usha Martin Limited,USHAMART
1545,Uttam Galva Steels Limited,UTTAMSTL
1546,Uttam Sugar Mills Limited,UTTAMSUGAR
1547,Uttam Value Steels Limited,UVSL
1548,V2 Retail Limited,V2RETAIL
1549,Vadilal Industries Limited,VADILALIND
1550,Vaibhav Global Limited,VAIBHAVGBL
1551,Vakrangee Limited,VAKRANGEE
1552,Vardhman Acrylics Limited,VARDHACRLC
1553,Vardhman Polytex Limited,VARDMNPOLY
1554,Varroc Engineering Limited,VARROC
1555,Vascon Engineers Limited,VASCONEQ
1556,Vaswani Industries Limited,VASWANI
1557,Varun Beverages Limited,VBL
1558,Vedanta Limited,VEDL
1559,Venky’s (India) Limited,VENKEYS
1560,Venus Remedies Limited,VENUSREM
1561,Vesuvius India Limited,VESUVIUS
1562,Veto Switchgears And Cables Limited,VETO
1563,V-Guard Industries Limited,VGUARD
1564,Vardhman Holdings Limited,VHL
1565,Viceroy Hotels Limited,VICEROY
1566,Videocon Industries Limited,VIDEOIND
1567,Vidhi Specialty Food Ingredients Limited,VIDHIING
1568,Viji Finance Limited,VIJIFIN
1569,Vikas EcoTech Limited,VIKASECO
1570,Vikas Multicorp Limited,VIKASMCORP
1571,Vikas Proppant & Granite Limited,VIKASPROP
1572,Vikas WSP Limited,VIKASWSP
1573,Vimal Oil & Foods Limited,VIMALOIL
1574,Vimta Labs Limited,VIMTALABS
1575,Vinati Organics Limited,VINATIORGA
1576,Vindhya Telelinks Limited,VINDHYATEL
1577,Vinyl Chemicals (India) Limited,VINYLINDIA
1578,VIP Clothing Limited,VIPCLOTHNG
1579,VIP Industries Limited,VIPIND
1580,Vipul Limited,VIPULLTD
1581,Visaka Industries Limited,VISAKAIND
1582,Visa Steel Limited,VISASTEEL
1583,Visesh Infotecnics Limited,VISESHINFO
1584,Vishal Fabrics Limited,VISHAL
1585,Vishnu Chemicals Limited,VISHNU
1586,Vishwaraj Sugar Industries Limited,VISHWARAJ
1587,Visagar Polytex Limited,VIVIDHA
1588,Vivimed Labs Limited,VIVIMEDLAB
1589,VLS Finance Limited,VLSFINANCE
1590,V-Mart Retail Limited,VMART
1591,Voltamp Transformers Limited,VOLTAMP
1592,Voltas Limited,VOLTAS
1593,VRL Logistics Limited,VRLLOG
1594,Vardhman Special Steels Limited,VSSL
1595,VST Industries Limited,VSTIND
1596,V.S.T Tillers Tractors Limited,VSTTILLERS
1597,Vardhman Textiles Limited,VTL
1598,VA Tech Wabag Limited,WABAG
1599,WABCO India Limited,WABCOINDIA
1600,Walchandnagar Industries Limited,WALCHANNAG
1601,Wanbury Limited,WANBURY
1602,Waterbase Limited,WATERBASE
1603,Websol Energy System Limited,WEBELSOLAR
1604,Weizmann Forex Limited,WEIZFOREX
1605,Weizmann Limited,WEIZMANIND
1606,Welspun Corp Limited,WELCORP
1607,Welspun Enterprises Limited,WELENT
1608,Welspun Investments and Commercials Limited,WELINV
1609,Welspun India Limited,WELSPUNIND
1610,Wendt (India) Limited,WENDT
1611,Westlife Development Ltd,WESTLIFE
1612,Wheels India Limited,WHEELS
1613,Whirlpool of India Limited,WHIRLPOOL
1614,Williamson Magor & Company Limited,WILLAMAGOR
1615,Windsor Machines Limited,WINDMACHIN
1616,Winsome Yarns Limited,WINSOME
1617,The Western India Plywoods Limited,WIPL
1618,Wipro Limited,WIPRO
1619,Wockhardt Limited,WOCKPHARMA
1620,Wonderla Holidays Limited,WONDERLA
1621,W S Industries (I) Limited,WSI
1622,West Coast Paper Mills Limited,WSTCSTPAPR
1623,Xchanging Solutions Limited,XCHANGING
1624,Xelpmoc Design And Tech Limited,XELPMOC
1625,XL Energy Limited,XLENERGY
1626,Xpro India Limited,XPROINDIA
1627,Yes Bank Limited,YESBANK
1628,Zee Entertainment Enterprises Limited,ZEEL
1629,Zee Learn Limited,ZEELEARN
1630,Zee Media Corporation Limited,ZEEMEDIA
1631,Zenith Birla (India) Limited,ZENITHBIR
1632,Zenith Exports Limited,ZENITHEXPO
1633,Zensar Technologies Limited,ZENSARTECH
1634,Zen Technologies Limited,ZENTEC
1635,Zicom Electronic Security Systems Limited,ZICOM
1636,Zodiac Clothing Company Limited,ZODIACLOTH
1637,Zodiac JRD- MKJ Limited,ZODJRDMKJ
1638,Zota Health Care LImited,ZOTA
1639,Zuari Agro Chemicals Limited,ZUARI
1640,Zuari Global Limited,ZUARIGLOB
1641,Zydus Wellness Limited,ZYDUSWELL